open,high,low,close,volume,date,symbol,historyType
234.05,237.3951,227.28,227.82,62688822,2022-11-01,TSLA,DAILY
226.19,229.85,221.94,227.54,61554341,2022-10-31,TSLA,DAILY
225.4,228.86,216.35,228.52,69152386,2022-10-28,TSLA,DAILY
229.77,233.81,222.85,225.09,61638824,2022-10-27,TSLA,DAILY
219.4,230.6,218.2,224.64,85327078,2022-10-26,TSLA,DAILY
210.1,224.3498,210.0,222.415,96507870,2022-10-25,TSLA,DAILY
205.82,213.5,198.5863,211.25,100446765,2022-10-24,TSLA,DAILY
206.415,214.66,203.8,214.44,75713754,2022-10-21,TSLA,DAILY
208.28,215.55,202.0,207.28,117798062,2022-10-20,TSLA,DAILY
219.8,222.93,217.78,222.04,66571479,2022-10-19,TSLA,DAILY
229.5,229.82,217.25,220.19,75891905,2022-10-18,TSLA,DAILY
210.04,221.86,209.45,219.35,79428810,2022-10-17,TSLA,DAILY
224.01,226.26,204.16,204.99,94124511,2022-10-14,TSLA,DAILY
208.3,222.99,206.22,221.72,91483045,2022-10-13,TSLA,DAILY
215.33,219.2999,211.51,217.24,66860699,2022-10-12,TSLA,DAILY
220.945,225.75,215.0,216.5,77013202,2022-10-11,TSLA,DAILY
223.93,226.99,218.3582,222.96,67925018,2022-10-10,TSLA,DAILY
233.935,234.5715,222.02,223.07,83916800,2022-10-07,TSLA,DAILY
239.44,244.58,235.35,238.13,69298437,2022-10-06,TSLA,DAILY
245.01,246.6697,233.27,240.81,86982673,2022-10-05,TSLA,DAILY
250.52,257.5,242.01,249.44,109578535,2022-10-04,TSLA,DAILY
254.5,255.16,241.01,242.4,98363541,2022-10-03,TSLA,DAILY
266.145,275.57,262.47,265.25,67726598,2022-09-30,TSLA,DAILY
282.76,283.65,265.78,268.21,77620642,2022-09-29,TSLA,DAILY
283.08,289.0,277.57,287.81,54664809,2022-09-28,TSLA,DAILY
283.84,288.67,277.51,282.94,61925185,2022-09-27,TSLA,DAILY
271.83,284.09,270.31,276.01,58076913,2022-09-26,TSLA,DAILY
283.09,284.5,272.82,275.33,63748362,2022-09-23,TSLA,DAILY
299.86,301.29,285.82,288.59,70107683,2022-09-22,TSLA,DAILY
308.29,313.8,300.63,300.8,62555656,2022-09-21,TSLA,DAILY
306.91,313.33,305.58,308.73,61642783,2022-09-20,TSLA,DAILY
300.09,309.84,297.8,309.07,60231156,2022-09-19,TSLA,DAILY
299.605,303.71,295.6005,303.35,87087786,2022-09-16,TSLA,DAILY
301.825,309.12,300.7247,303.75,64795523,2022-09-15,TSLA,DAILY
292.24,306.0,291.64,302.61,72628653,2022-09-14,TSLA,DAILY
292.9,297.3999,290.4,292.13,68229619,2022-09-13,TSLA,DAILY
300.72,305.49,300.4,304.42,48674604,2022-09-12,TSLA,DAILY
291.67,299.85,291.245,299.68,54470854,2022-09-09,TSLA,DAILY
281.3,289.5,279.76,289.26,53713124,2022-09-08,TSLA,DAILY
273.1,283.84,272.27,283.7,50028916,2022-09-07,TSLA,DAILY
272.675,275.99,265.74,274.42,55605247,2022-09-06,TSLA,DAILY
281.065,282.35,269.08,270.21,50890090,2022-09-02,TSLA,DAILY
272.575,277.58,266.15,277.16,54287024,2022-09-01,TSLA,DAILY
280.62,281.25,271.81,275.61,52107337,2022-08-31,TSLA,DAILY
287.865,288.48,272.65,277.7,50541759,2022-08-30,TSLA,DAILY
282.83,287.74,280.7,284.82,41548729,2022-08-29,TSLA,DAILY
297.43,302.0,287.47,288.09,57163947,2022-08-26,TSLA,DAILY
302.36,302.96,291.6,296.07,52827378,2022-08-25,TSLA,DAILY
892.69,910.94,889.5,891.29,19086572,2022-08-24,TSLA,DAILY
874.36,896.4799,863.77,889.36,21328348,2022-08-23,TSLA,DAILY
875.74,877.2,858.89,869.74,18614449,2022-08-22,TSLA,DAILY
897.0,901.08,877.5,890.0,20465129,2022-08-19,TSLA,DAILY
918.0,919.5,905.56,908.61,15833512,2022-08-18,TSLA,DAILY
910.19,928.97,900.1,911.99,22921990,2022-08-17,TSLA,DAILY
935.0,944.0,908.65,919.69,29378774,2022-08-16,TSLA,DAILY
905.36,939.4,903.69,927.96,29786389,2022-08-15,TSLA,DAILY
868.245,900.48,855.1,900.09,26552429,2022-08-12,TSLA,DAILY
889.54,894.71,857.5,859.89,23385015,2022-08-11,TSLA,DAILY
891.2,892.53,850.11,883.07,31639624,2022-08-10,TSLA,DAILY
870.88,877.19,838.06,850.0,28748227,2022-08-09,TSLA,DAILY
